City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Rikitea,PF,77.92,few clouds,-23.1203,-134.9692,Pension Maro'i
7,Atuona,PF,80.28,few clouds,-9.8,-139.0333,Villa Enata
17,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Cabo Rojo,PR,81.0,scattered clouds,18.0866,-67.1457,Hotel Perichi's
24,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Grand Gaube,MU,78.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Kapaa,US,78.8,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
48,Cabo San Lucas,MX,77.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
49,Meulaboh,ID,76.64,overcast clouds,4.1363,96.1285,Kost Pria
52,Eldorado,BR,71.22,few clouds,-23.7869,-54.2836,Villa Verde Hotel
53,Port Elizabeth,ZA,71.6,clear sky,-33.918,25.5701,39 On Nile Guest House
58,Puerto Ayora,EC,77.0,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
64,Fare,PF,82.42,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
66,Sabang,ID,82.76,overcast clouds,5.8933,95.3214,Hotel Citra
69,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
72,Noumea,NC,84.2,clear sky,-22.2763,166.4572,Hôtel Le Lagon
75,Sao Jose Da Coroa Grande,BR,77.74,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
77,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
82,Young,UY,70.0,broken clouds,-32.6833,-57.6333,Posada Gira el Sol
84,Jucas,BR,72.97,overcast clouds,-6.5253,-39.5275,Pousada e pizzaria Frogomercambar
92,Cayenne,GF,80.01,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
104,Conselheiro Pena,BR,72.37,scattered clouds,-19.1722,-41.4722,Hotel Bela Adormecida
105,Nabire,ID,78.8,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
108,Hilo,US,80.6,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
109,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
110,Cockburn Town,TC,78.8,few clouds,21.4612,-71.1419,Osprey Beach Hotel
112,Kavaratti,IN,83.37,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
